[00:00:01.011] (1f18a8c00) INFO   Session id: e4a85996025ef1f3a5ced43f3c35d45dd3f5c6e0bbf41c19dd08a7b0b5a3fcb2
[00:00:01.022] (1f18a8c00) INFO   Sending message: keepalive
[00:00:01.247] (1f18a8c00) INFO   Received message: keepalive
[00:00:21.023] (1f18a8c00) INFO   Sending message: keepalive
[00:00:21.252] (1f18a8c00) INFO   Received message: keepalive
[00:00:36.530] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "hostname"}, "request_id": "162159fd-c46c-43b7-a06d-a8263d5362c7"}
[00:00:36.542] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"macbookonce\n","stderr":""},"error":false,"request_id":"162159fd-c46c-43b7-a06d-a8263d5362c7"}
[00:00:39.488] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "uname -a"}, "request_id": "d74bd524-17ca-485a-a94d-5648e97ff5e0"}
[00:00:39.502] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"Darwin macbookonce 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103 arm64\n","stderr":""},"error":false,"request_id":"d74bd524-17ca-485a-a94d-5648e97ff5e0"}
[00:00:41.022] (1f18a8c00) INFO   Sending message: keepalive
[00:00:41.249] (1f18a8c00) INFO   Received message: keepalive
[00:01:01.023] (1f18a8c00) INFO   Sending message: keepalive
[00:01:01.252] (1f18a8c00) INFO   Received message: keepalive
[00:01:21.022] (1f18a8c00) INFO   Sending message: keepalive
[00:01:21.250] (1f18a8c00) INFO   Received message: keepalive
[00:01:41.023] (1f18a8c00) INFO   Sending message: keepalive
[00:01:41.252] (1f18a8c00) INFO   Received message: keepalive
[00:02:01.022] (1f18a8c00) INFO   Sending message: keepalive
[00:02:01.251] (1f18a8c00) INFO   Received message: keepalive
[00:02:16.895] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "hostname"}, "request_id": "2446a439-0452-43c6-b676-6dc61ca6e504"}
[00:02:16.903] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"macbookonce\n","stderr":""},"error":false,"request_id":"2446a439-0452-43c6-b676-6dc61ca6e504"}
[00:02:19.656] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "uname -a"}, "request_id": "df406f5e-d7e4-4c66-aaa4-433bcc7a4c65"}
[00:02:19.665] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"Darwin macbookonce 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103 arm64\n","stderr":""},"error":false,"request_id":"df406f5e-d7e4-4c66-aaa4-433bcc7a4c65"}
[00:02:21.023] (1f18a8c00) INFO   Sending message: keepalive
[00:02:21.250] (1f18a8c00) INFO   Received message: keepalive
[00:02:22.796] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "df -h"}, "request_id": "880f857a-e1e1-49e8-b911-296f91654d46"}
[00:02:22.811] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"Filesystem        Size    Used   Avail Capacity iused ifree %iused  Mounted on\n/dev/disk3s4s1   460Gi   9.6Gi    88Gi    10%    404k  921M    0%   /\ndevfs            220Ki   220Ki     0Bi   100%     762     0  100%   /dev\n/dev/disk3s7     460Gi   3.0Gi    88Gi     4%       3  921M    0%   /System/Volumes/VM\n/dev/disk3s5     460Gi   5.7Gi    88Gi     7%    1.1k  921M    0%   /System/Volumes/Preboot\n/dev/disk3s3     460Gi    22Mi    88Gi     1%      49  921M    0%   /System/Volumes/Update\n/dev/disk1s2     500Mi   6.0Mi   482Mi     2%       1  4.9M    0%   /System/Volumes/xarts\n/dev/disk1s1     500Mi   6.2Mi   482Mi     2%      41  4.9M    0%   /System/Volumes/iSCPreboot\n/dev/disk1s3     500Mi   1.2Mi   482Mi     1%      53  4.9M    0%   /System/Volumes/Hardware\n/dev/disk3s1     460Gi   255Gi    88Gi    75%    1.8M  921M    0%   /System/Volumes/Data\n/dev/disk3s2     460Gi    98Gi    88Gi    53%    1.1M  921M    0%   /Volumes/macOS-extravol\nmap auto_home      0Bi     0Bi     0Bi   100%       0     0     -   /System/Volumes/Data/home\n/dev/disk5s1     477Gi    61Gi    65Gi    49%     112  678M    0%   /Volumes/SSD_512G\n/dev/disk5s2     477Gi   350Gi    65Gi    85%     59k  678M    0%   /Volumes/SSD_DRAWTH\n","stderr":""},"error":false,"request_id":"880f857a-e1e1-49e8-b911-296f91654d46"}
[00:02:41.022] (1f18a8c00) INFO   Sending message: keepalive
[00:02:41.249] (1f18a8c00) INFO   Received message: keepalive
[00:03:01.022] (1f18a8c00) INFO   Sending message: keepalive
[00:03:01.250] (1f18a8c00) INFO   Received message: keepalive
[00:03:21.030] (1f18a8c00) INFO   Sending message: keepalive
[00:03:21.259] (1f18a8c00) INFO   Received message: keepalive
[00:03:41.023] (1f18a8c00) INFO   Sending message: keepalive
[00:03:41.251] (1f18a8c00) INFO   Received message: keepalive
[00:04:01.022] (1f18a8c00) INFO   Sending message: keepalive
[00:04:01.252] (1f18a8c00) INFO   Received message: keepalive
[00:04:21.023] (1f18a8c00) INFO   Sending message: keepalive
[00:04:21.250] (1f18a8c00) INFO   Received message: keepalive
[00:04:31.485] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "hostname"}, "request_id": "43c8f068-d994-4b68-9275-6c93dec467f9"}
[00:04:31.499] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"macbookonce\n","stderr":""},"error":false,"request_id":"43c8f068-d994-4b68-9275-6c93dec467f9"}
[00:04:34.333] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "uname -a"}, "request_id": "e888805e-f620-43b6-a880-5ee927e56ed8"}
[00:04:34.346] (1f18a8c00) INFO   Sending message: {"data":{"return_code":0,"stdout":"Darwin macbookonce 23.5.0 Darwin Kernel Version 23.5.0: Wed May  1 20:16:51 PDT 2024; root:xnu-10063.121.3~5/RELEASE_ARM64_T8103 arm64\n","stderr":""},"error":false,"request_id":"e888805e-f620-43b6-a880-5ee927e56ed8"}
[00:04:39.671] (1f18a8c00) INFO   Received message: {"data": {"action": "command", "command": "curl ipinfo.io"}, "request_id": "893338da-dd46-4875-87a5-75829ff7e6be"}
